sno,record_date,country,regioncode,regionname,latitude,longitude,hospitalizedpatients,intensivecarepatients,totalhospitalizedpatients,homeconfinement,currentpositivecases,newpositivecases,recovered,deaths,totalpositivecases,testsperformed
,Date,Country,,RegionName,Latitude,Longitude,,,,,,,,,,
0.0,2020-02-24 18:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1.0,2020-02-24 18:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2020-02-24 18:00:00,ITA,4.0,P.A. Bolzano,46.49933453,11.35662422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,2020-02-24 18:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,2020-02-24 18:00:00,ITA,15.0,Campania,40.83956555,14.25084984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
5.0,2020-02-24 18:00:00,ITA,8.0,Emilia Romagna,44.49436681,11.341720800000001,10.0,2.0,12.0,6.0,18.0,18.0,0.0,0.0,18.0,148.0
6.0,2020-02-24 18:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
7.0,2020-02-24 18:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0,124.0
8.0,2020-02-24 18:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9.0,2020-02-24 18:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,76.0,19.0,95.0,71.0,166.0,166.0,0.0,6.0,172.0,1463.0
10.0,2020-02-24 18:00:00,ITA,11.0,Marche,43.61675973,13.5188753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
11.0,2020-02-24 18:00:00,ITA,14.0,Molise,41.55774754,14.65916051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,2020-02-24 18:00:00,ITA,1.0,Piemonte,45.0732745,7.680687483,2.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,3.0,141.0
13.0,2020-02-24 18:00:00,ITA,16.0,Puglia,41.12559576,16.86736689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,2020-02-24 18:00:00,ITA,20.0,Sardegna,39.21531192,9.110616306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,2020-02-24 18:00:00,ITA,19.0,Sicilia,38.11569725,13.362356699999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
16.0,2020-02-24 18:00:00,ITA,9.0,Toscana,43.76923077,11.25588885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0
17.0,2020-02-24 18:00:00,ITA,4.0,P.A. Trento,46.06893511,11.12123097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
18.0,2020-02-24 18:00:00,ITA,10.0,Umbria,43.10675841,12.38824698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,2020-02-24 18:00:00,ITA,2.0,Valle d'Aosta,45.73750286,7.320149366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
20.0,2020-02-24 18:00:00,ITA,5.0,Veneto,45.43490485,12.33845213,12.0,4.0,16.0,16.0,32.0,32.0,0.0,1.0,33.0,2200.0
21.0,2020-02-25 18:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
22.0,2020-02-25 18:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,2020-02-25 18:00:00,ITA,4.0,P.A. Bolzano,46.49933453,11.35662422,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
24.0,2020-02-25 18:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
25.0,2020-02-25 18:00:00,ITA,15.0,Campania,40.83956555,14.25084984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
26.0,2020-02-25 18:00:00,ITA,8.0,Emilia Romagna,44.49436681,11.341720800000001,15.0,2.0,17.0,9.0,26.0,8.0,0.0,0.0,26.0,391.0
27.0,2020-02-25 18:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
28.0,2020-02-25 18:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,124.0
29.0,2020-02-25 18:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,39.0
30.0,2020-02-25 18:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,79.0,25.0,104.0,127.0,231.0,65.0,0.0,9.0,240.0,3700.0
31.0,2020-02-25 18:00:00,ITA,11.0,Marche,43.61675973,13.5188753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
32.0,2020-02-25 18:00:00,ITA,14.0,Molise,41.55774754,14.65916051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,2020-02-25 18:00:00,ITA,1.0,Piemonte,45.0732745,7.680687483,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,141.0
34.0,2020-02-25 18:00:00,ITA,16.0,Puglia,41.12559576,16.86736689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,2020-02-25 18:00:00,ITA,20.0,Sardegna,39.21531192,9.110616306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36.0,2020-02-25 18:00:00,ITA,19.0,Sicilia,38.11569725,13.362356699999998,1.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,3.0,5.0
37.0,2020-02-25 18:00:00,ITA,9.0,Toscana,43.76923077,11.25588885,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,296.0
38.0,2020-02-25 18:00:00,ITA,4.0,P.A. Trento,46.06893511,11.12123097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
39.0,2020-02-25 18:00:00,ITA,10.0,Umbria,43.10675841,12.38824698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
40.0,2020-02-25 18:00:00,ITA,2.0,Valle d'Aosta,45.73750286,7.320149366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
41.0,2020-02-25 18:00:00,ITA,5.0,Veneto,45.43490485,12.33845213,12.0,7.0,19.0,23.0,42.0,10.0,0.0,1.0,43.0,3780.0
42.0,2020-02-26 18:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
43.0,2020-02-26 18:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,2020-02-26 18:00:00,ITA,4.0,P.A. Bolzano,46.49933453,11.35662422,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
45.0,2020-02-26 18:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
46.0,2020-02-26 18:00:00,ITA,15.0,Campania,40.83956555,14.25084984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
47.0,2020-02-26 18:00:00,ITA,8.0,Emilia Romagna,44.49436681,11.341720800000001,20.0,3.0,23.0,23.0,46.0,20.0,0.0,1.0,47.0,577.0
48.0,2020-02-26 18:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
49.0,2020-02-26 18:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,0.0,0.0,0.0,0.0,0.0,-2.0,3.0,0.0,3.0,124.0
50.0,2020-02-26 18:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,6.0,0.0,6.0,5.0,11.0,10.0,0.0,0.0,11.0,66.0
51.0,2020-02-26 18:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,79.0,25.0,104.0,145.0,249.0,18.0,0.0,9.0,258.0,3208.0
52.0,2020-02-26 18:00:00,ITA,11.0,Marche,43.61675973,13.5188753,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,28.0
53.0,2020-02-26 18:00:00,ITA,14.0,Molise,41.55774754,14.65916051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,2020-02-26 18:00:00,ITA,1.0,Piemonte,45.0732745,7.680687483,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,156.0
55.0,2020-02-26 18:00:00,ITA,16.0,Puglia,41.12559576,16.86736689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,2020-02-26 18:00:00,ITA,20.0,Sardegna,39.21531192,9.110616306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57.0,2020-02-26 18:00:00,ITA,19.0,Sicilia,38.11569725,13.362356699999998,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,5.0
58.0,2020-02-26 18:00:00,ITA,9.0,Toscana,43.76923077,11.25588885,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,363.0
59.0,2020-02-26 18:00:00,ITA,4.0,P.A. Trento,46.06893511,11.12123097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
60.0,2020-02-26 18:00:00,ITA,10.0,Umbria,43.10675841,12.38824698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
61.0,2020-02-26 18:00:00,ITA,2.0,Valle d'Aosta,45.73750286,7.320149366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
62.0,2020-02-26 18:00:00,ITA,5.0,Veneto,45.43490485,12.33845213,16.0,8.0,24.0,45.0,69.0,27.0,0.0,2.0,71.0,4900.0
63.0,2020-02-27 18:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,33.0
64.0,2020-02-27 18:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2020-02-27 18:00:00,ITA,4.0,P.A. Bolzano,46.49933453,11.35662422,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
66.0,2020-02-27 18:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
67.0,2020-02-27 18:00:00,ITA,15.0,Campania,40.83956555,14.25084984,2.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,3.0,10.0
68.0,2020-02-27 18:00:00,ITA,8.0,Emilia Romagna,44.49436681,11.341720800000001,36.0,6.0,42.0,54.0,96.0,50.0,0.0,1.0,97.0,1033.0
69.0,2020-02-27 18:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0
70.0,2020-02-27 18:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,552.0
71.0,2020-02-27 18:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,9.0,0.0,9.0,10.0,19.0,8.0,0.0,0.0,19.0,78.0
72.0,2020-02-27 18:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,172.0,41.0,213.0,136.0,349.0,100.0,40.0,14.0,403.0,3320.0
73.0,2020-02-27 18:00:00,ITA,11.0,Marche,43.61675973,13.5188753,2.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,3.0,46.0
74.0,2020-02-27 18:00:00,ITA,14.0,Molise,41.55774754,14.65916051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,2020-02-27 18:00:00,ITA,1.0,Piemonte,45.0732745,7.680687483,2.0,0.0,2.0,0.0,2.0,-1.0,0.0,0.0,2.0,156.0
76.0,2020-02-27 18:00:00,ITA,16.0,Puglia,41.12559576,16.86736689,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
77.0,2020-02-27 18:00:00,ITA,20.0,Sardegna,39.21531192,9.110616306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78.0,2020-02-27 18:00:00,ITA,19.0,Sicilia,38.11569725,13.362356699999998,1.0,0.0,1.0,1.0,2.0,-1.0,2.0,0.0,4.0,5.0
79.0,2020-02-27 18:00:00,ITA,9.0,Toscana,43.76923077,11.25588885,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,410.0
80.0,2020-02-27 18:00:00,ITA,4.0,P.A. Trento,46.06893511,11.12123097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
81.0,2020-02-27 18:00:00,ITA,10.0,Umbria,43.10675841,12.38824698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
82.0,2020-02-27 18:00:00,ITA,2.0,Valle d'Aosta,45.73750286,7.320149366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
83.0,2020-02-27 18:00:00,ITA,5.0,Veneto,45.43490485,12.33845213,19.0,8.0,27.0,82.0,109.0,40.0,0.0,2.0,111.0,6164.0
84.0,2020-02-28 18:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,33.0
85.0,2020-02-28 18:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,2020-02-28 18:00:00,ITA,4.0,P.A. Bolzano,46.49933453,11.35662422,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
87.0,2020-02-28 18:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,21.0
88.0,2020-02-28 18:00:00,ITA,15.0,Campania,40.83956555,14.25084984,2.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,4.0,213.0
89.0,2020-02-28 18:00:00,ITA,8.0,Emilia Romagna,44.49436681,11.341720800000001,56.0,6.0,62.0,81.0,143.0,47.0,0.0,2.0,145.0,1277.0
90.0,2020-02-28 18:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
91.0,2020-02-28 18:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,611.0
92.0,2020-02-28 18:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,9.0,0.0,9.0,10.0,19.0,0.0,0.0,0.0,19.0,112.0
93.0,2020-02-28 18:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,235.0,47.0,282.0,192.0,474.0,125.0,40.0,17.0,531.0,4835.0
94.0,2020-02-28 18:00:00,ITA,11.0,Marche,43.61675973,13.5188753,3.0,2.0,5.0,1.0,6.0,3.0,0.0,0.0,6.0,47.0
95.0,2020-02-28 18:00:00,ITA,14.0,Molise,41.55774754,14.65916051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,2020-02-28 18:00:00,ITA,1.0,Piemonte,45.0732745,7.680687483,7.0,0.0,7.0,4.0,11.0,9.0,0.0,0.0,11.0,227.0
97.0,2020-02-28 18:00:00,ITA,16.0,Puglia,41.12559576,16.86736689,1.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,242.0
98.0,2020-02-28 18:00:00,ITA,20.0,Sardegna,39.21531192,9.110616306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99.0,2020-02-28 18:00:00,ITA,19.0,Sicilia,38.11569725,13.362356699999998,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,5.0
100.0,2020-02-28 18:00:00,ITA,9.0,Toscana,43.76923077,11.25588885,5.0,0.0,5.0,2.0,7.0,5.0,1.0,0.0,8.0,437.0
101.0,2020-02-28 18:00:00,ITA,4.0,P.A. Trento,46.06893511,11.12123097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
102.0,2020-02-28 18:00:00,ITA,10.0,Umbria,43.10675841,12.38824698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
103.0,2020-02-28 18:00:00,ITA,2.0,Valle d'Aosta,45.73750286,7.320149366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
104.0,2020-02-28 18:00:00,ITA,5.0,Veneto,45.43490485,12.33845213,24.0,9.0,33.0,116.0,149.0,40.0,0.0,2.0,151.0,7414.0
105.0,2020-02-29 17:00:00,ITA,13.0,Abruzzo,42.35122196,13.39843823,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,43.0
106.0,2020-02-29 17:00:00,ITA,17.0,Basilicata,40.63947052,15.80514834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
107.0,2020-02-29 17:00:00,ITA,4.0,P.A. Bolzano,46.49933453,11.35662422,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0
108.0,2020-02-29 17:00:00,ITA,18.0,Calabria,38.90597598,16.59440194,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,27.0
109.0,2020-02-29 17:00:00,ITA,15.0,Campania,40.83956555,14.25084984,3.0,0.0,3.0,10.0,13.0,9.0,0.0,0.0,13.0,373.0
110.0,2020-02-29 17:00:00,ITA,8.0,Emilia Romagna,44.49436681,11.341720800000001,86.0,11.0,97.0,116.0,213.0,70.0,0.0,4.0,217.0,1550.0
111.0,2020-02-29 17:00:00,ITA,6.0,Friuli Venezia Giulia,45.6494354,13.76813649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0
112.0,2020-02-29 17:00:00,ITA,12.0,Lazio,41.89277044,12.48366722,3.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,6.0,679.0
113.0,2020-02-29 17:00:00,ITA,7.0,Liguria,44.41149315,8.9326992,4.0,1.0,5.0,33.0,38.0,19.0,4.0,0.0,42.0,121.0
114.0,2020-02-29 17:00:00,ITA,3.0,Lombardia,45.46679409,9.190347404,256.0,80.0,336.0,216.0,552.0,78.0,40.0,23.0,615.0,5723.0
115.0,2020-02-29 17:00:00,ITA,11.0,Marche,43.61675973,13.5188753,6.0,2.0,8.0,3.0,11.0,5.0,0.0,0.0,11.0,68.0
116.0,2020-02-29 17:00:00,ITA,14.0,Molise,41.55774754,14.65916051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117.0,2020-02-29 17:00:00,ITA,1.0,Piemonte,45.0732745,7.680687483,7.0,0.0,7.0,4.0,11.0,0.0,0.0,0.0,11.0,308.0
118.0,2020-02-29 17:00:00,ITA,16.0,Puglia,41.12559576,16.86736689,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,252.0
119.0,2020-02-29 17:00:00,ITA,20.0,Sardegna,39.21531192,9.110616306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
120.0,2020-02-29 17:00:00,ITA,19.0,Sicilia,38.11569725,13.362356699999998,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,4.0,6.0
121.0,2020-02-29 17:00:00,ITA,9.0,Toscana,43.76923077,11.25588885,7.0,0.0,7.0,3.0,10.0,3.0,1.0,0.0,11.0,531.0
122.0,2020-02-29 17:00:00,ITA,4.0,P.A. Trento,46.06893511,11.12123097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
123.0,2020-02-29 17:00:00,ITA,10.0,Umbria,43.10675841,12.38824698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
124.0,2020-02-29 17:00:00,ITA,2.0,Valle d'Aosta,45.73750286,7.320149366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
